id,latitude,longitude,name,type,color,segment_name,segment_id,url
60,45.393887,-73.532652,last kilo montrealaise:  [Yibing Wen],Yibing Wen,8126C0,last kilo montrealaise,5518371,http://www.strava.com/segments/5518371/compare/,
61,45.392077,-73.51708,Hendel:  [Yibing Wen],Yibing Wen,8126C0,Hendel,7252747,http://www.strava.com/segments/7252747/compare/,
62,45.384225,-73.534237,Sprint Haendel:  [UNCLAIMED],UNCLAIMED,000000,Sprint Haendel,9499314,http://www.strava.com/segments/9499314/compare/,
63,45.390519,-73.466311,Sprint vers boul. St-Jean:  [UNCLAIMED],UNCLAIMED,000000,Sprint vers boul. St-Jean,1442758,http://www.strava.com/segments/1442758/compare/,
64,45.396395,-73.483732,Rue de la Bélize Climb:  [UNCLAIMED],UNCLAIMED,000000,Rue de la Bélize Climb,4281431,http://www.strava.com/segments/4281431/compare/,
65,45.40706,-73.477751,Trail briquetterie:  [UNCLAIMED],UNCLAIMED,000000,Trail briquetterie,8906287,http://www.strava.com/segments/8906287/compare/,
66,45.397627,-73.484956,Briquetterie NORD:  [UNCLAIMED],UNCLAIMED,000000,Briquetterie NORD,9028232,http://www.strava.com/segments/9028232/compare/,
67,45.398795,-73.491507,sprint briqueterie:  [UNCLAIMED],UNCLAIMED,000000,sprint briqueterie,10096402,http://www.strava.com/segments/10096402/compare/,
68,45.3885041038,-73.403865248,BattailleS-Tir-Golf-BattailleN:  [UNCLAIMED],UNCLAIMED,000000,BattailleS-Tir-Golf-BattailleN,2601372,http://www.strava.com/segments/2601372/compare/,
69,45.447561,-73.942179,Senneville through the trees sprint:  [Eoin Craigie],Eoin Craigie,5CB1E4,Senneville through the trees sprint,4934073,http://www.strava.com/segments/4934073/compare/,
70,45.429612,-73.916949,St Marie farms:  [UNCLAIMED],UNCLAIMED,000000,St Marie farms,4243666,http://www.strava.com/segments/4243666/compare/,
71,45.422235,-73.935948,Rocky Start to Bumpy Finish:  [UNCLAIMED],UNCLAIMED,000000,Rocky Start to Bumpy Finish,4702480,http://www.strava.com/segments/4702480/compare/,
72,45.418184842,-73.9352183976,2e seg mcdonald:  [UNCLAIMED],UNCLAIMED,000000,2e seg mcdonald,2296333,http://www.strava.com/segments/2296333/compare/,
73,45.427099,-73.921837,Sainte Marie's traffic:  [UNCLAIMED],UNCLAIMED,000000,Sainte Marie's traffic,5945427,http://www.strava.com/segments/5945427/compare/,
74,45.4410002567,-73.9082711656,Single track:  [UNCLAIMED],UNCLAIMED,000000,Single track,1443159,http://www.strava.com/segments/1443159/compare/,
75,45.438427,-73.907283,Technical SingleTrack:  [UNCLAIMED],UNCLAIMED,000000,Technical SingleTrack,5541226,http://www.strava.com/segments/5541226/compare/,
76,45.4447307065,-73.9103374723,Dirt Highway:  [UNCLAIMED],UNCLAIMED,000000,Dirt Highway,1443151,http://www.strava.com/segments/1443151/compare/,
77,45.440705,-73.91765,FatBike SBCU loop:  [UNCLAIMED],UNCLAIMED,000000,FatBike SBCU loop,8974129,http://www.strava.com/segments/8974129/compare/,
78,45.440993,-73.913228,Technical SingleTrack Loop:  [UNCLAIMED],UNCLAIMED,000000,Technical SingleTrack Loop,5541230,http://www.strava.com/segments/5541230/compare/,
79,45.4238044,-73.8662895,Garret's Giddyup:  [Eoin Craigie],Eoin Craigie,5CB1E4,Garret's Giddyup,1858757,http://www.strava.com/segments/1858757/compare/,
80,45.419591,-73.882105,Lakeview Boulevard Climb:  [Eoin Craigie],Eoin Craigie,5CB1E4,Lakeview Boulevard Climb,3981553,http://www.strava.com/segments/3981553/compare/,
81,45.4376933444,-73.9016836602,L'Anse a L'Orme - Out and Back:  [UNCLAIMED],UNCLAIMED,000000,L'Anse a L'Orme - Out and Back,2127492,http://www.strava.com/segments/2127492/compare/,
82,45.4391717,-73.8896161,Marie's Hump:  [UNCLAIMED],UNCLAIMED,000000,Marie's Hump,1740735,http://www.strava.com/segments/1740735/compare/,
83,45.4222169117,-73.8723869311,Lakeshore around Beaurepaire village:  [UNCLAIMED],UNCLAIMED,000000,Lakeshore around Beaurepaire village,1252910,http://www.strava.com/segments/1252910/compare/,
84,45.441202,-73.878949,Ch Ste-Marie overpass ouest:  [UNCLAIMED],UNCLAIMED,000000,Ch Ste-Marie overpass ouest,7631682,http://www.strava.com/segments/7631682/compare/,
85,45.435003,-73.848812,WCG : Elm West:  [UNCLAIMED],UNCLAIMED,000000,WCG : Elm West,8246776,http://www.strava.com/segments/8246776/compare/,
86,45.440065,-73.885961,Park to Park:  [UNCLAIMED],UNCLAIMED,000000,Park to Park,4558642,http://www.strava.com/segments/4558642/compare/,
87,45.427911,-73.885062,Elm - Woodland to Westcroft:  [UNCLAIMED],UNCLAIMED,000000,Elm - Woodland to Westcroft,7720120,http://www.strava.com/segments/7720120/compare/,
88,45.436355,-73.898194,WCG : Interval 10 : The return:  [UNCLAIMED],UNCLAIMED,000000,WCG : Interval 10 : The return,5123495,http://www.strava.com/segments/5123495/compare/,
89,45.429248,-73.824304,Chemin du Bord-du-Lac-Lakeshore Climb:  [Eoin Craigie],Eoin Craigie,5CB1E4,Chemin du Bord-du-Lac-Lakeshore Climb,3898952,http://www.strava.com/segments/3898952/compare/,
90,45.433839,-73.810533,Parc Stewart:  [Eoin Craigie],Eoin Craigie,5CB1E4,Parc Stewart,6981302,http://www.strava.com/segments/6981302/compare/,
91,45.431125,-73.84586,St-Charles Stretch direction Lakeshore:  [Eoin Craigie],Eoin Craigie,5CB1E4,St-Charles Stretch direction Lakeshore,4295048,http://www.strava.com/segments/4295048/compare/,
92,45.433338,-73.81159,Beaconsfield Blvd : St-Charles to St-Jean:  [Eoin Craigie],Eoin Craigie,5CB1E4,Beaconsfield Blvd : St-Charles to St-Jean,7189412,http://www.strava.com/segments/7189412/compare/,
93,45.4282764,-73.8339753,Beaconsfield St-Charles stretch:  [Eoin Craigie],Eoin Craigie,5CB1E4,Beaconsfield St-Charles stretch,2453606,http://www.strava.com/segments/2453606/compare/,
94,45.439539,-73.832956,Windmill Hill:  [UNCLAIMED],UNCLAIMED,000000,Windmill Hill,7330689,http://www.strava.com/segments/7330689/compare/,
95,45.440398,-73.827873,The final grind:  [UNCLAIMED],UNCLAIMED,000000,The final grind,9443479,http://www.strava.com/segments/9443479/compare/,
96,45.431004,-73.824078,Lanthier dir. ouest:  [UNCLAIMED],UNCLAIMED,000000,Lanthier dir. ouest,8091084,http://www.strava.com/segments/8091084/compare/,
97,45.442381,-73.821038,Cedar to Pte-Claire - Train sprint:  [UNCLAIMED],UNCLAIMED,000000,Cedar to Pte-Claire - Train sprint,9527539,http://www.strava.com/segments/9527539/compare/,
98,45.4288416,-73.8310298,Rotters Loop:  [UNCLAIMED],UNCLAIMED,000000,Rotters Loop,1681459,http://www.strava.com/segments/1681459/compare/,
99,45.446353,-73.780394,PS40 : SPRINT 3 : DORVAL:  [Eoin Craigie],Eoin Craigie,5CB1E4,PS40 : SPRINT 3 : DORVAL,9316745,http://www.strava.com/segments/9316745/compare/,
100,45.43896,-73.740816,Posh push to Thrush:  [Eoin Craigie],Eoin Craigie,5CB1E4,Posh push to Thrush,4332693,http://www.strava.com/segments/4332693/compare/,
101,45.444466,-73.776929,PS40 : Sprint 2 : Pointe-Claire Sign:  [Eoin Craigie],Eoin Craigie,5CB1E4,PS40 : Sprint 2 : Pointe-Claire Sign,9316606,http://www.strava.com/segments/9316606/compare/,
102,45.441932,-73.752023,JV3 Fly By:  [Mike Sants],Mike Sants,1D6914,JV3 Fly By,4375819,http://www.strava.com/segments/4375819/compare/,
103,45.441932,-73.758881,Jean XXIII sprint:  [Mike Sants],Mike Sants,1D6914,Jean XXIII sprint,7947880,http://www.strava.com/segments/7947880/compare/,
104,45.442864,-73.774185,Touzin Sprint:  [Mike Sants],Mike Sants,1D6914,Touzin Sprint,7083356,http://www.strava.com/segments/7083356/compare/,
105,45.4412987782,-73.7403470278,Avenue Dawson - Dvl Ave - Stream.:  [Mike Sants],Mike Sants,1D6914,Avenue Dawson - Dvl Ave - Stream.,2200585,http://www.strava.com/segments/2200585/compare/,
106,45.441753,-73.760784,P.B. to Dorval Ave:  [Mike Sants],Mike Sants,1D6914,P.B. to Dorval Ave,9527506,http://www.strava.com/segments/9527506/compare/,
