id,latitude,longitude,name,type,color,segment_name,segment_id
86,45.440065,-73.885961,Park to Park:  [UNCLAIMED],UNCLAIMED,000000,Park to Park,4558642,
87,45.427911,-73.885062,Elm - Woodland to Westcroft:  [UNCLAIMED],UNCLAIMED,000000,Elm - Woodland to Westcroft,7720120,
88,45.436355,-73.898194,WCG : Interval 10 : The return:  [UNCLAIMED],UNCLAIMED,000000,WCG : Interval 10 : The return,5123495,
89,45.429248,-73.824304,Chemin du Bord-du-Lac-Lakeshore Climb:  [Marc Devlin],Marc Devlin,2A4BD7,Chemin du Bord-du-Lac-Lakeshore Climb,3898952,
90,45.433839,-73.810533,Parc Stewart:  [Marc Devlin],Marc Devlin,2A4BD7,Parc Stewart,6981302,
91,45.431125,-73.84586,St-Charles Stretch direction Lakeshore:  [Patrick Santeusanio],Patrick Santeusanio,AD2323,St-Charles Stretch direction Lakeshore,4295048,
92,45.433338,-73.81159,Beaconsfield Blvd : St-Charles to St-Jean:  [UNCLAIMED],UNCLAIMED,000000,Beaconsfield Blvd : St-Charles to St-Jean,7189412,
93,45.4282764,-73.8339753,Beaconsfield St-Charles stretch:  [Patrick Santeusanio],Patrick Santeusanio,AD2323,Beaconsfield St-Charles stretch,2453606,
94,45.439539,-73.832956,Windmill Hill:  [UNCLAIMED],UNCLAIMED,000000,Windmill Hill,7330689,
95,45.440398,-73.827873,The final grind:  [UNCLAIMED],UNCLAIMED,000000,The final grind,9443479,
96,45.431004,-73.824078,Lanthier dir. ouest:  [UNCLAIMED],UNCLAIMED,000000,Lanthier dir. ouest,8091084,
97,45.442381,-73.821038,Cedar to Pte-Claire - Train sprint:  [UNCLAIMED],UNCLAIMED,000000,Cedar to Pte-Claire - Train sprint,9527539,
98,45.4288416,-73.8310298,Rotters Loop:  [UNCLAIMED],UNCLAIMED,000000,Rotters Loop,1681459,
99,45.446353,-73.780394,PS40 : SPRINT 3 : DORVAL:  [Mike Sants],Mike Sants,1D6914,PS40 : SPRINT 3 : DORVAL,9316745,
100,45.43896,-73.740816,Posh push to Thrush:  [Mike Sants],Mike Sants,1D6914,Posh push to Thrush,4332693,
101,45.444466,-73.776929,PS40 : Sprint 2 : Pointe-Claire Sign:  [Mike Sants],Mike Sants,1D6914,PS40 : Sprint 2 : Pointe-Claire Sign,9316606,
102,45.441932,-73.752023,JV3 Fly By:  [Mike Sants],Mike Sants,1D6914,JV3 Fly By,4375819,
103,45.441932,-73.758881,Jean XXIII sprint:  [Mike Sants],Mike Sants,1D6914,Jean XXIII sprint,7947880,
104,45.442864,-73.774185,Touzin Sprint:  [Mike Sants],Mike Sants,1D6914,Touzin Sprint,7083356,
105,45.4412987782,-73.7403470278,Avenue Dawson - Dvl Ave - Stream.:  [Mike Sants],Mike Sants,1D6914,Avenue Dawson - Dvl Ave - Stream.,2200585,
106,45.441753,-73.760784,P.B. to Dorval Ave:  [Mike Sants],Mike Sants,1D6914,P.B. to Dorval Ave,9527506,
107,45.445107,-73.731288,Carson:  [UNCLAIMED],UNCLAIMED,000000,Carson,5909984,
108,45.4283758532,-73.6765351798,Sprint Parc Rene-Levesque Ouest:  [Mike Sants],Mike Sants,1D6914,Sprint Parc Rene-Levesque Ouest,2358922,
109,45.42844,-73.686271,Park Sprint :  [Mike Sants],Mike Sants,1D6914,Park Sprint ,8149161,
110,45.43808,-73.714848,Lachine BIke Path 52nd to 32nd Avenue:  [Marc Devlin],Marc Devlin,2A4BD7,Lachine BIke Path 52nd to 32nd Avenue,4173833,
111,45.432527,-73.683582,Lachine Waterfront (Eastbound):  [Mike Sants],Mike Sants,1D6914,Lachine Waterfront (Eastbound),7715348,
112,45.439969,-73.7217,PS40 : Sprint 4 : Lachine:  [Mike Sants],Mike Sants,1D6914,PS40 : Sprint 4 : Lachine,9316742,
113,45.4392180126,-73.6725883093,1 lap Mardi Cycliste:  [UNCLAIMED],UNCLAIMED,000000,1 lap Mardi Cycliste,621249,
114,45.43304684,-73.69355613,Saint Joseph Westbound:  [Mike Sants],Mike Sants,1D6914,Saint Joseph Westbound,2189823,
115,45.442452,-73.709921,48e Sprint:  [UNCLAIMED],UNCLAIMED,000000,48e Sprint,4705541,
116,45.4454091378,-73.6789348349,Petit Dimanche Lap:  [UNCLAIMED],UNCLAIMED,000000,Petit Dimanche Lap,719256,
117,45.44506,-73.728581,Handfield Loop:  [UNCLAIMED],UNCLAIMED,000000,Handfield Loop,9316470,
118,45.435987,-73.654857,Clement to Dollard:  [Josh Felker],Josh Felker,814A19,Clement to Dollard,4765374,
119,45.4310656479,-73.6657828745,Lachine Canal - Rue Musee to bridge with old train:  [Josh Felker],Josh Felker,814A19,Lachine Canal - Rue Musee to bridge with old train,2325046,
120,45.441114,-73.645919,St. Pierre Bridge to rue du Musee:  [Josh Felker],Josh Felker,814A19,St. Pierre Bridge to rue du Musee,4237697,
121,45.428445,-73.66541,Lyette to Stirling uphill:  [Josh Felker],Josh Felker,814A19,Lyette to Stirling uphill,8049962,
122,45.422815,-73.655412,BERGES- Bélanger to 90e:  [Josh Felker],Josh Felker,814A19,BERGES- Bélanger to 90e,7975151,
123,45.416052,-73.634263,La Salle petite côte:  [Josh Felker],Josh Felker,814A19,La Salle petite côte,9223941,
124,45.416968,-73.643914,90e à 75e Boulevard Lasalle:  [Josh Felker],Josh Felker,814A19,90e à 75e Boulevard Lasalle,9804047,
125,45.4386571376,-73.6635454092,Victoria Sprint.:  [Mike Sants],Mike Sants,1D6914,Victoria Sprint.,2518291,
126,45.4222847616,-73.6219665122,Ave Dollard to Blvd Lasalle:  [Mike Sants],Mike Sants,1D6914,Ave Dollard to Blvd Lasalle,1804825,
127,45.44171,-73.626635,Angrignon Boulevard Climb:  [UNCLAIMED],UNCLAIMED,000000,Angrignon Boulevard Climb,6277819,
128,45.429962,-73.592181,LaSalle Blvd - 5th to Douglas:  [Josh Felker],Josh Felker,814A19,LaSalle Blvd - 5th to Douglas,9598966,
129,45.4415353574,-73.5964589193,Angrignon Park Reverse Sprint:  [UNCLAIMED],UNCLAIMED,000000,Angrignon Park Reverse Sprint,1821922,
130,45.446579,-73.590022,Canal de l'aqueduct - Stephens à Bishop Power:  [Mike Sants],Mike Sants,1D6914,Canal de l'aqueduct - Stephens à Bishop Power,8160819,
131,45.44138,-73.608321,Angrignon Park Sprint:  [Mike Sants],Mike Sants,1D6914,Angrignon Park Sprint,4607037,
132,45.427307,-73.599493,Bishop Power sprint:  [Mike Sants],Mike Sants,1D6914,Bishop Power sprint,8181497,
133,45.44322,-73.574488,Stephens to Bishop Power Sprint:  [Josh Felker],Josh Felker,814A19,Stephens to Bishop Power Sprint,9906497,
134,45.427095,-73.595562,Bishop Power Boulevard to Raymond Street:  [Josh Felker],Josh Felker,814A19,Bishop Power Boulevard to Raymond Street,9906515,
135,45.443879,-73.575565,Triathlon de Verdun - Natation:  [UNCLAIMED],UNCLAIMED,000000,Triathlon de Verdun - Natation,4817870,
136,45.443329,-73.577043,Triathlon de Verdun - Vélo:  [UNCLAIMED],UNCLAIMED,000000,Triathlon de Verdun - Vélo,4817901,
137,45.434649,-73.591115,Ouimet Sprint:  [UNCLAIMED],UNCLAIMED,000000,Ouimet Sprint,4261825,
138,45.417749,-73.498564,Bridge over Hwy-15:  [UNCLAIMED],UNCLAIMED,000000,Bridge over Hwy-15,9939846,
139,45.423126,-73.495102,Lac de la Citiere reverse:  [UNCLAIMED],UNCLAIMED,000000,Lac de la Citiere reverse,4111052,
140,45.432822,-73.483552,Parc Radisson:  [UNCLAIMED],UNCLAIMED,000000,Parc Radisson,8106402,
141,45.426468,-73.481784,Taschereau - Golf to Piste cyclable :  [UNCLAIMED],UNCLAIMED,000000,Taschereau - Golf to Piste cyclable ,9257476,
142,45.431548,-73.467673,Parc Illinois ouest:  [UNCLAIMED],UNCLAIMED,000000,Parc Illinois ouest,5669645,
143,45.430409,-73.453283,Du Quarties Tracks -> Des Prairies Path:  [UNCLAIMED],UNCLAIMED,000000,Du Quarties Tracks -> Des Prairies Path,7726844,
144,45.441322,-73.442623,Du Quartier Sprint:  [UNCLAIMED],UNCLAIMED,000000,Du Quartier Sprint,5652357,
145,45.428316,-73.458404,Matte ( Quartier to Illinois ):  [UNCLAIMED],UNCLAIMED,000000,Matte ( Quartier to Illinois ),8135549,
146,45.418238,-73.487229,Taschereau:  Ernest rochette - Rivard:  [UNCLAIMED],UNCLAIMED,000000,Taschereau:  Ernest rochette - Rivard,9300042,
147,45.433892,-73.447658,Quartier Sprint - Prairies to Tracks:  [UNCLAIMED],UNCLAIMED,000000,Quartier Sprint - Prairies to Tracks,8500468,
148,45.447082,-73.485331,Brossard BackyardZ - Rivard to Robert:  [Yibing Wen],Yibing Wen,8126C0,Brossard BackyardZ - Rivard to Robert,7110476,
149,45.456096,-73.933037,Nature Park:  [UNCLAIMED],UNCLAIMED,000000,Nature Park,4365351,
150,45.4550161316,-73.8717554247,Snake Path:  [UNCLAIMED],UNCLAIMED,000000,Snake Path,1737713,
151,45.48184,-73.86194,Sommerset Climb:  [UNCLAIMED],UNCLAIMED,000000,Sommerset Climb,2743938,
152,45.479235,-73.860415,Jacques Bizzard Climb:  [UNCLAIMED],UNCLAIMED,000000,Jacques Bizzard Climb,8011196,
153,45.466696,-73.8496106,De Salaberry to Pierrefonds Boulevard:  [UNCLAIMED],UNCLAIMED,000000,De Salaberry to Pierrefonds Boulevard,2219539,
154,45.448427,-73.878146,Houde to Saint-Charles:  [UNCLAIMED],UNCLAIMED,000000,Houde to Saint-Charles,5938173,
155,45.459746,-73.892062,WCG : Ferries Loop : Pierrefond blvd:  [UNCLAIMED],UNCLAIMED,000000,WCG : Ferries Loop : Pierrefond blvd,5652638,
156,45.4760217,-73.871095,Ste-Anne Hill:  [UNCLAIMED],UNCLAIMED,000000,Ste-Anne Hill,1613188,
157,45.463118,-73.867527,WCG : Oakwood:  [UNCLAIMED],UNCLAIMED,000000,WCG : Oakwood,8244720,
158,45.47492,-73.871693,Becket:  [UNCLAIMED],UNCLAIMED,000000,Becket,9823061,
159,45.474979,-73.853822,Suburbia Square:  [UNCLAIMED],UNCLAIMED,000000,Suburbia Square,7331247,
160,45.474098,-73.833149,St. Jean-Tecumseh MUP:  [UNCLAIMED],UNCLAIMED,000000,St. Jean-Tecumseh MUP,4034397,
161,45.467148,-73.846204,St-Jean sprint:  [UNCLAIMED],UNCLAIMED,000000,St-Jean sprint,4243723,
162,45.452016,-73.813475,Hit that b***h:  [UNCLAIMED],UNCLAIMED,000000,Hit that b***h,9400123,
163,45.4520945,-73.8133631,Santa Louie Louie:  [UNCLAIMED],UNCLAIMED,000000,Santa Louie Louie,2395850,
164,45.448162,-73.801956,Coolbreeze Crush:  [UNCLAIMED],UNCLAIMED,000000,Coolbreeze Crush,4841145,
165,45.472819,-73.836233,salaberry/  st-jean ouest:  [UNCLAIMED],UNCLAIMED,000000,salaberry/  st-jean ouest,9940319,
166,45.465148,-73.822567,St. Jean to Sources:  [UNCLAIMED],UNCLAIMED,000000,St. Jean to Sources,8084596,
167,45.451621,-73.793026,Valois Pool Raceway:  [UNCLAIMED],UNCLAIMED,000000,Valois Pool Raceway,5084770,
168,45.4502331,-73.7813059,La Grosse Banane:  [UNCLAIMED],UNCLAIMED,000000,La Grosse Banane,1931861,
169,45.478501,-73.759959,Technoparc Straight (with wind at back):  [UNCLAIMED],UNCLAIMED,000000,Technoparc Straight (with wind at back),9404454,
170,45.4795678239,-73.7658793945,Techno Park St-Laurent Big Loop:  [UNCLAIMED],UNCLAIMED,000000,Techno Park St-Laurent Big Loop,669179,
171,45.478794,-73.749738,Planespotting:  [UNCLAIMED],UNCLAIMED,000000,Planespotting,7191030,
172,45.450269,-73.743913,Cardinal Crush:  [UNCLAIMED],UNCLAIMED,000000,Cardinal Crush,4134111,
